Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,HouseAge,TotalSquareFeet
24,120,4,44.0,4224,1,0,1,0,1,1,0,9,7,6,2,6,5,7,1976,1976,4,0,10,6,3,0.0,3,4,3,2,4,2,0,840,6,0,200,1040,5,4,1,1,1060,0,0,1060,1,0,1,0,3,1,3,6,6,1,5,6,1976.0,2,2,572,5,5,1,100,110,0,0,0,0,0,0,0,0,6,2007,4,1,129900,31,2100
25,20,2,69.0,8246,1,0,3,0,1,1,0,24,7,6,1,6,5,8,1968,2001,4,0,8,9,3,0.0,3,1,2,4,4,3,3,188,4,668,204,1060,5,0,1,1,1060,0,0,1060,1,0,1,0,3,1,2,6,6,1,5,6,1968.0,2,1,270,5,5,1,406,90,0,0,0,0,0,2,0,0,5,2010,4,1,154000,42,2120
26,20,2,110.0,14230,1,0,1,0,1,0,0,0,7,6,1,6,8,5,2007,2007,4,0,5,5,0,640.0,2,4,3,2,4,2,6,0,6,0,1566,1566,5,0,1,1,1600,0,0,1600,0,0,2,0,3,1,2,7,6,1,2,6,2007.0,1,3,890,5,5,1,0,56,0,0,0,0,0,0,0,0,7,2009,4,1,256300,2,3166
27,20,2,60.0,7200,1,0,1,0,1,0,0,14,7,6,1,6,5,7,1951,2000,4,0,12,13,3,0.0,3,4,2,4,4,3,1,234,3,486,180,900,5,4,1,1,900,0,0,900,0,1,1,0,3,1,2,5,6,0,0,3,2005.0,2,2,576,5,5,1,222,32,0,0,0,0,0,0,0,0,5,2010,4,1,134800,59,1800
28,20,2,98.0,11478,1,0,1,0,1,1,0,0,7,6,1,6,8,5,2007,2008,4,0,5,5,0,200.0,2,4,3,1,4,2,0,1218,6,0,486,1704,5,0,1,1,1704,0,0,1704,1,0,2,0,3,1,2,7,6,1,2,6,2008.0,1,3,772,5,5,1,0,50,0,0,0,0,0,0,0,0,5,2010,4,1,306000,3,3408
29,20,2,47.0,16321,1,0,3,0,1,4,0,14,7,6,1,6,5,6,1957,1997,4,0,2,3,3,0.0,3,4,2,4,4,1,1,1277,6,0,207,1484,5,4,1,1,1600,0,0,1600,1,0,1,0,2,1,3,6,6,2,2,6,1957.0,1,1,319,5,5,1,288,258,0,0,0,0,0,0,0,0,12,2006,4,1,207500,49,3084
30,30,4,60.0,6324,1,0,3,0,1,1,0,3,3,0,1,6,4,6,1927,1950,4,0,2,3,3,0.0,3,4,5,4,4,2,6,0,6,0,520,520,5,2,0,1,520,0,0,520,0,0,1,0,1,1,0,4,6,0,0,3,1920.0,2,1,240,3,5,1,49,0,87,0,0,0,0,0,0,0,5,2008,4,1,68500,81,1040
31,70,3,50.0,8500,1,2,1,0,1,1,0,15,3,6,1,2,4,4,1920,1950,5,0,6,7,3,0.0,3,2,5,4,4,2,6,0,6,0,649,649,5,4,0,1,649,668,0,1317,0,0,1,0,3,1,3,6,6,0,0,3,1920.0,2,1,250,5,3,0,0,54,172,0,0,0,0,2,0,0,7,2008,4,1,40000,88,1966
32,20,2,69.0,8544,1,0,3,0,1,4,0,24,7,6,1,6,5,6,1966,2006,4,0,0,1,3,0.0,3,4,2,4,4,2,6,0,6,0,1228,1228,5,1,1,1,1228,0,0,1228,0,0,1,1,3,1,2,6,6,0,0,6,1966.0,2,1,271,5,5,1,0,65,0,0,0,0,0,2,0,0,6,2008,4,1,149350,42,2456
33,20,2,85.0,11049,1,0,1,0,1,0,0,13,7,6,1,6,8,5,2007,2007,4,0,5,5,3,0.0,2,4,3,1,4,4,6,0,6,0,1234,1234,5,0,1,1,1234,0,0,1234,0,0,2,0,3,1,2,7,6,0,0,6,2007.0,1,2,484,5,5,1,0,30,0,0,0,0,0,0,0,0,1,2008,4,1,179900,1,2468
34,20,2,70.0,10552,1,0,3,0,1,1,0,14,7,6,1,6,5,5,1959,1959,0,0,6,7,3,0.0,3,4,2,4,4,2,3,1018,6,0,380,1398,5,1,1,1,1700,0,0,1700,0,1,1,1,4,1,2,6,6,1,2,6,1959.0,1,2,447,5,5,1,0,38,0,0,0,0,0,0,0,0,4,2010,4,1,165500,51,3098
35,120,2,60.0,7313,1,0,1,0,1,1,0,0,7,6,2,6,9,5,2005,2005,0,0,2,3,2,246.0,1,4,3,1,4,2,0,1153,6,0,408,1561,5,0,1,1,1561,0,0,1561,1,0,2,0,2,1,1,6,6,1,2,6,2005.0,3,2,556,5,5,1,203,47,0,0,0,0,0,0,0,0,8,2007,4,1,277500,2,3122
36,60,2,108.0,13418,1,0,1,0,1,1,0,0,7,6,1,2,8,5,2004,2005,4,0,5,5,0,132.0,2,4,3,1,4,4,6,0,6,0,1117,1117,5,0,1,1,1132,1320,0,2452,0,0,3,1,4,1,2,9,6,1,2,2,2004.0,3,3,691,5,5,1,113,32,0,0,0,0,0,0,0,0,9,2006,4,1,309000,2,3569
37,20,2,112.0,10859,1,0,1,0,1,0,0,13,7,6,1,6,5,5,1994,1995,4,0,5,5,3,0.0,3,4,3,2,4,2,6,0,6,0,1097,1097,5,0,1,1,1097,0,0,1097,0,0,1,1,3,1,3,6,6,0,0,6,1995.0,2,2,672,5,5,1,392,64,0,0,0,0,0,0,0,0,6,2009,4,1,145000,15,2194
38,20,2,74.0,8532,1,0,1,0,1,1,0,14,7,6,1,6,5,6,1954,1990,0,0,12,13,2,650.0,3,4,2,4,4,2,3,1213,6,0,84,1297,5,1,1,1,1297,0,0,1297,0,1,1,0,3,1,3,5,6,1,5,6,1954.0,3,2,498,5,5,1,0,0,0,0,0,0,0,0,0,0,10,2009,4,1,153000,55,2594
39,20,2,68.0,7922,1,0,1,0,1,1,0,14,7,6,1,6,5,7,1953,2007,4,0,5,5,3,0.0,3,1,2,4,4,2,0,731,6,0,326,1057,5,4,1,1,1057,0,0,1057,1,0,1,0,3,1,2,5,6,0,0,3,1953.0,2,1,246,5,5,1,0,52,0,0,0,0,0,0,0,0,1,2010,4,4,109000,57,2114
40,90,2,65.0,6040,1,0,1,0,1,1,0,2,7,6,4,6,4,5,1955,1955,4,0,9,9,3,0.0,3,4,3,0,0,0,2,0,0,0,0,0,5,4,0,2,1152,0,0,1152,0,0,2,0,2,2,0,6,6,0,0,0,1980.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2008,4,0,82000,53,1152
41,20,2,84.0,8658,1,0,1,0,1,1,0,14,7,6,1,6,6,5,1965,1965,4,0,12,13,2,101.0,3,4,2,4,4,2,3,643,6,0,445,1088,5,0,1,1,1324,0,0,1324,0,0,2,0,3,1,3,6,6,1,5,6,1965.0,1,2,440,5,5,1,0,138,0,0,0,0,0,4,0,0,12,2006,4,4,160000,41,2412
42,20,2,115.0,16905,1,0,1,0,1,1,0,16,7,6,1,6,5,6,1959,1959,4,0,5,5,3,0.0,3,1,2,4,4,1,1,967,6,0,383,1350,5,1,1,1,1328,0,0,1328,0,1,1,1,2,1,3,5,6,2,2,6,1959.0,1,1,308,5,5,2,0,104,0,0,0,0,0,0,0,0,7,2007,4,1,170000,48,2678
43,85,2,69.0,9180,1,0,3,0,1,4,0,4,7,6,1,4,5,7,1983,1983,4,0,0,1,3,0.0,3,4,2,2,4,4,4,747,5,93,0,840,5,1,1,1,884,0,0,884,1,0,1,0,2,1,2,5,6,0,0,6,1983.0,1,2,504,5,2,1,240,0,0,0,0,0,0,2,0,0,12,2007,4,1,144000,24,1724
44,20,2,69.0,9200,1,0,3,0,1,4,0,13,7,6,1,6,5,6,1975,1980,0,0,5,5,3,0.0,3,4,2,2,4,4,5,280,1,491,167,938,5,4,1,1,938,0,0,938,1,0,1,0,3,1,3,5,6,0,0,3,1977.0,2,1,308,5,5,1,145,0,0,0,0,0,0,2,0,0,7,2008,4,1,130250,33,1876
45,20,2,70.0,7945,1,0,1,0,1,1,0,14,7,6,1,6,5,6,1959,1959,4,0,6,13,3,0.0,3,4,2,4,4,2,4,179,1,506,465,1150,5,0,1,3,1150,0,0,1150,1,0,1,0,3,1,3,6,6,0,0,6,1959.0,1,1,300,5,5,1,0,0,0,0,0,0,0,0,0,0,5,2006,4,1,141000,47,2300
46,120,2,61.0,7658,1,0,1,0,1,1,0,0,7,6,2,6,9,5,2005,2005,0,0,2,3,2,412.0,1,4,3,1,4,2,0,456,6,0,1296,1752,5,0,1,1,1752,0,0,1752,1,0,2,0,2,1,1,6,6,1,2,6,2005.0,1,2,576,5,5,1,196,82,0,0,0,0,0,0,0,0,2,2010,4,1,319900,5,3504
47,50,2,48.0,12822,1,0,3,0,1,4,0,17,7,6,1,5,7,5,2003,2003,4,0,5,5,3,0.0,2,4,3,1,4,2,0,1351,6,0,83,1434,5,0,1,1,1518,631,0,2149,1,0,1,1,1,1,2,6,6,1,1,6,2003.0,1,2,670,5,5,1,168,43,0,0,198,0,0,0,0,0,8,2009,4,4,239686,6,3583
48,20,0,84.0,11096,1,0,1,0,1,1,0,10,7,6,1,6,8,5,2006,2006,4,0,5,5,3,0.0,2,4,3,2,4,4,0,24,6,0,1632,1656,5,0,1,1,1656,0,0,1656,0,0,2,0,3,1,2,7,6,0,0,6,2006.0,1,3,826,5,5,1,0,146,0,0,0,0,0,0,0,0,7,2007,4,1,249700,1,3312
49,190,4,33.0,4456,1,0,1,0,1,1,0,5,7,6,3,2,4,5,1920,2008,4,0,2,3,3,0.0,3,4,5,4,4,2,6,0,6,0,736,736,5,1,1,1,736,716,0,1452,0,0,2,0,2,3,3,8,6,0,0,0,1980.0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,6,2009,8,2,113000,89,2188
50,20,2,66.0,7742,1,0,1,0,1,1,0,24,7,6,1,6,5,7,1966,1966,4,0,0,1,3,0.0,3,4,2,4,4,2,1,763,6,0,192,955,5,0,1,1,955,0,0,955,1,0,1,0,3,1,3,6,6,0,0,6,1966.0,2,1,386,5,5,1,0,0,0,0,0,0,0,2,0,0,1,2007,4,1,127000,41,1910
51,60,2,69.0,13869,1,0,0,0,1,0,0,1,7,6,1,2,6,6,1997,1997,4,0,5,5,3,0.0,3,4,3,2,4,4,0,182,6,0,612,794,5,1,1,1,794,676,0,1470,0,1,2,0,3,1,3,6,6,0,0,6,1997.0,3,2,388,5,5,1,0,75,0,0,0,0,0,0,0,0,7,2007,4,1,177000,10,2264
52,50,4,52.0,6240,1,0,1,0,1,1,0,3,7,6,1,5,6,6,1934,1950,4,0,12,13,3,0.0,3,4,3,4,4,2,6,0,6,0,816,816,5,4,1,1,816,0,360,1176,0,0,1,0,3,1,3,6,6,1,2,3,1985.0,2,2,528,5,5,1,112,0,0,0,0,0,0,2,4,400,9,2006,4,1,114500,72,1632
53,90,4,110.0,8472,0,0,0,1,1,0,2,15,0,6,4,6,5,5,1963,1963,4,0,12,13,3,0.0,0,4,2,2,4,1,5,104,2,712,0,816,5,4,0,1,816,0,0,816,1,0,1,0,2,1,3,5,6,0,0,1,1963.0,2,2,516,5,5,1,106,0,0,0,0,0,0,0,0,0,5,2010,4,1,110000,47,1632
54,20,2,68.0,50271,1,0,3,3,1,1,0,8,7,6,1,6,9,5,1981,1987,4,4,3,14,3,0.0,2,4,2,1,4,1,0,1810,6,0,32,1842,5,1,1,1,1842,0,0,1842,2,0,0,1,0,1,2,5,6,1,2,6,1981.0,3,3,894,5,5,1,857,72,0,0,0,0,0,0,0,0,11,2006,4,1,385000,25,3684
55,80,2,60.0,7134,1,0,1,1,1,1,2,14,7,6,1,3,5,5,1955,1955,4,0,2,3,3,0.0,3,4,2,4,4,2,4,384,6,0,0,384,5,4,1,1,1360,0,0,1360,0,0,1,0,3,1,3,6,3,1,5,3,1962.0,2,2,572,5,5,1,0,50,0,0,0,0,0,2,0,0,2,2007,4,1,130000,52,1744
56,20,2,100.0,10175,1,0,3,0,1,1,0,14,7,6,1,6,6,5,1964,1964,4,0,0,9,2,272.0,3,4,2,4,4,2,1,490,6,0,935,1425,5,1,1,1,1425,0,0,1425,0,0,2,0,3,1,3,7,6,1,2,6,1964.0,1,2,576,5,5,1,0,0,0,407,0,0,0,0,0,0,7,2008,4,1,180500,44,2850
57,160,0,24.0,2645,1,2,1,0,1,1,0,10,7,6,0,2,8,5,1999,2000,4,0,2,3,2,456.0,2,4,3,2,4,2,0,649,6,0,321,970,5,0,1,1,983,756,0,1739,1,0,2,1,3,1,2,7,6,0,0,6,1999.0,3,2,480,5,5,1,115,0,0,0,0,0,0,0,0,0,8,2009,4,4,172500,10,2709
58,60,2,89.0,11645,1,0,3,0,1,0,0,13,7,6,1,2,7,5,2004,2004,4,0,5,5,3,0.0,2,4,3,2,4,2,6,0,6,0,860,860,5,0,1,1,860,860,0,1720,0,0,2,1,3,1,2,7,6,0,0,6,2004.0,1,2,565,5,5,1,0,70,0,0,0,0,0,0,0,0,8,2006,4,1,196500,2,2580
59,60,2,66.0,13682,1,0,0,2,1,4,0,20,7,6,1,2,10,5,2006,2006,0,0,5,5,2,1031.0,1,4,3,1,4,1,6,0,6,0,1410,1410,5,0,1,1,1426,1519,0,2945,0,0,3,1,3,1,2,10,6,1,2,2,2006.0,3,3,641,5,5,1,192,0,37,0,0,0,0,0,0,0,10,2006,8,2,438780,0,4355
60,20,2,60.0,7200,1,0,1,1,1,1,0,13,7,6,1,6,5,7,1972,1972,4,0,0,1,3,0.0,3,4,2,4,4,4,4,632,6,0,148,780,5,0,1,1,780,0,0,780,0,0,1,0,2,1,3,4,6,0,0,3,1973.0,2,1,352,5,5,1,196,0,0,0,0,0,0,2,0,0,1,2008,4,1,124900,36,1560
61,20,2,63.0,13072,1,0,1,0,1,1,0,4,2,6,1,6,6,5,2004,2004,4,0,5,5,3,0.0,3,4,3,2,4,2,4,941,6,0,217,1158,5,0,1,1,1158,0,0,1158,1,0,1,1,3,1,2,5,6,0,0,3,2006.0,2,2,576,5,5,1,0,50,0,0,0,0,0,0,0,0,5,2006,8,2,158000,2,2316
62,75,4,60.0,7200,1,0,1,0,1,1,0,15,7,6,1,0,5,7,1920,1996,4,0,2,3,3,0.0,3,4,5,4,2,2,6,0,6,0,530,530,5,4,0,1,581,530,0,1111,0,0,1,0,3,1,0,6,6,0,0,3,1935.0,2,1,288,5,5,0,0,0,144,0,0,0,0,0,0,0,3,2007,4,1,101000,87,1641
63,120,2,44.0,6442,1,0,3,0,1,1,0,0,7,6,2,6,8,5,2006,2006,4,0,5,5,0,178.0,2,4,3,2,1,3,0,24,6,0,1346,1370,5,0,1,1,1370,0,0,1370,0,0,2,0,2,1,2,6,6,1,2,6,2006.0,1,2,484,5,5,1,120,49,0,0,0,0,0,0,0,0,10,2007,4,1,202500,1,2740
64,70,4,50.0,10300,1,0,3,1,1,1,0,5,5,4,1,2,7,6,1921,1950,4,0,1,2,3,0.0,3,4,5,4,4,2,6,0,6,0,576,576,5,1,1,1,902,808,0,1710,0,0,2,0,3,1,3,9,6,0,0,3,1990.0,2,2,480,5,5,1,12,11,64,0,0,0,0,3,0,0,4,2010,4,1,140000,89,2286
65,60,2,69.0,9375,1,0,1,0,1,1,0,13,7,6,1,2,7,5,1997,1998,4,0,5,5,2,573.0,3,4,3,2,4,2,0,739,6,0,318,1057,5,0,1,1,1057,977,0,2034,1,0,2,1,3,1,2,8,6,0,0,6,1998.0,1,2,645,5,5,1,576,36,0,0,0,0,0,3,0,0,2,2009,4,1,219500,12,3091
66,60,2,76.0,9591,1,0,1,0,1,1,0,0,7,6,1,2,8,5,2004,2005,4,0,5,5,2,344.0,2,4,3,1,4,4,6,0,6,0,1143,1143,5,0,1,1,1143,1330,0,2473,0,0,2,1,4,1,2,9,6,1,2,2,2004.0,1,3,852,5,5,1,192,151,0,0,0,0,0,0,0,0,10,2007,4,1,317000,3,3616
67,20,2,69.0,19900,1,0,1,0,1,1,0,14,8,6,1,6,7,5,1970,1989,4,0,8,9,2,287.0,3,4,2,2,4,1,0,912,6,0,1035,1947,5,4,1,1,2207,0,0,2207,1,0,2,0,3,1,3,7,3,1,2,6,1970.0,1,2,576,5,5,1,301,0,0,0,0,0,0,0,0,0,7,2010,4,1,180000,40,4154
68,20,2,72.0,10665,1,0,3,0,1,1,0,13,7,6,1,6,7,5,2003,2003,4,0,5,5,2,167.0,2,4,3,2,4,4,0,1013,6,0,440,1453,5,0,1,1,1479,0,0,1479,1,0,2,0,3,1,2,7,6,0,0,6,2003.0,1,2,558,5,5,1,144,29,0,0,0,0,0,0,0,0,6,2007,4,1,226000,4,2932
69,30,4,47.0,4608,1,0,1,0,1,0,0,5,4,6,1,6,4,6,1945,1950,4,0,2,3,3,0.0,3,1,2,4,4,2,6,0,6,0,747,747,5,4,1,1,747,0,0,747,0,0,1,0,2,1,3,4,6,0,0,6,1945.0,2,1,220,5,5,1,0,0,0,0,0,0,0,0,0,0,6,2010,4,1,80000,65,1494
70,50,2,81.0,15593,1,0,1,0,1,0,0,7,7,6,1,5,7,4,1953,1953,4,0,6,11,3,0.0,2,4,2,4,4,2,1,603,6,0,701,1304,2,4,1,1,1304,983,0,2287,0,0,2,0,3,1,3,7,6,1,5,6,1953.0,3,2,667,5,5,1,0,21,114,0,0,0,0,0,0,0,7,2006,4,1,225000,53,3591
