PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Title
50,0,2.0,0.0,18.0,1,0,17.8,2.0,3.0
51,0,2.0,1.0,7.0,4,1,39.6875,2.0,0.0
52,0,2.0,1.0,21.0,0,0,7.8,2.0,2.0
53,1,0.0,0.0,49.0,1,0,76.7292,0.0,3.0
54,1,1.0,0.0,29.0,1,0,26.0,2.0,3.0
55,0,0.0,1.0,65.0,0,1,61.9792,0.0,2.0
56,1,0.0,1.0,42.0,0,0,35.5,2.0,2.0
57,1,1.0,0.0,21.0,0,0,10.5,2.0,1.0
58,0,2.0,1.0,28.5,0,0,7.2292,0.0,2.0
59,1,1.0,0.0,5.0,1,2,27.75,2.0,1.0
60,0,2.0,1.0,11.0,5,2,46.9,2.0,0.0
61,0,2.0,1.0,22.0,0,0,7.2292,0.0,2.0
62,1,0.0,0.0,38.0,0,0,80.0,2.0,1.0
63,0,0.0,1.0,45.0,1,0,83.475,2.0,2.0
64,0,2.0,1.0,4.0,3,2,27.9,2.0,0.0
65,0,0.0,1.0,30.0,0,0,27.7208,0.0,2.0
66,1,2.0,1.0,31.0,1,1,15.2458,0.0,0.0
67,1,1.0,0.0,29.0,0,0,10.5,2.0,3.0
68,0,2.0,1.0,19.0,0,0,8.1583,2.0,2.0
69,1,2.0,0.0,17.0,4,2,7.925,2.0,1.0
70,0,2.0,1.0,26.0,2,0,8.6625,2.0,2.0
71,0,1.0,1.0,32.0,0,0,10.5,2.0,2.0
72,0,2.0,0.0,16.0,5,2,46.9,2.0,1.0
73,0,1.0,1.0,21.0,0,0,73.5,2.0,2.0
74,0,2.0,1.0,26.0,1,0,14.4542,0.0,2.0
75,1,2.0,1.0,32.0,0,0,56.4958,2.0,2.0
76,0,2.0,1.0,25.0,0,0,7.65,2.0,2.0
77,0,2.0,1.0,39.0,0,0,7.8958,2.0,2.0
78,0,2.0,1.0,33.0,0,0,8.05,2.0,2.0
79,1,1.0,1.0,0.83,0,2,29.0,2.0,0.0
80,1,2.0,0.0,30.0,0,0,12.475,2.0,1.0
81,0,2.0,1.0,22.0,0,0,9.0,2.0,2.0
82,1,2.0,1.0,29.0,0,0,9.5,2.0,2.0
83,1,2.0,0.0,27.0,0,0,7.7875,1.0,1.0
84,0,0.0,1.0,28.0,0,0,47.1,2.0,2.0
85,1,1.0,0.0,17.0,0,0,10.5,2.0,1.0
86,1,2.0,0.0,33.0,3,0,15.85,2.0,3.0
87,0,2.0,1.0,16.0,1,3,34.375,2.0,2.0
88,0,2.0,1.0,21.0,0,0,8.05,2.0,2.0
89,1,0.0,0.0,23.0,3,2,263.0,2.0,1.0
90,0,2.0,1.0,24.0,0,0,8.05,2.0,2.0
91,0,2.0,1.0,29.0,0,0,8.05,2.0,2.0
92,0,2.0,1.0,20.0,0,0,7.8542,2.0,2.0
93,0,0.0,1.0,46.0,1,0,61.175,2.0,2.0
94,0,2.0,1.0,26.0,1,2,20.575,2.0,2.0
95,0,2.0,1.0,59.0,0,0,7.25,2.0,2.0
96,0,2.0,1.0,20.0,0,0,8.05,2.0,2.0
97,0,0.0,1.0,71.0,0,0,34.6542,0.0,2.0
98,1,0.0,1.0,23.0,0,1,63.3583,0.0,2.0
99,1,1.0,0.0,34.0,0,1,23.0,2.0,3.0
100,0,1.0,1.0,34.0,1,0,26.0,2.0,2.0
101,0,2.0,0.0,28.0,0,0,7.8958,2.0,1.0
102,0,2.0,1.0,27.0,0,0,7.8958,2.0,2.0
103,0,0.0,1.0,21.0,0,1,77.2875,2.0,2.0
104,0,2.0,1.0,33.0,0,0,8.6542,2.0,2.0
105,0,2.0,1.0,37.0,2,0,7.925,2.0,2.0
106,0,2.0,1.0,28.0,0,0,7.8958,2.0,2.0
107,1,2.0,0.0,21.0,0,0,7.65,2.0,1.0
108,1,2.0,1.0,33.0,0,0,7.775,2.0,2.0
109,0,2.0,1.0,38.0,0,0,7.8958,2.0,2.0
110,1,2.0,0.0,40.0,1,0,24.15,1.0,1.0
111,0,0.0,1.0,47.0,0,0,52.0,2.0,2.0
112,0,2.0,0.0,14.5,1,0,14.4542,0.0,1.0
113,0,2.0,1.0,22.0,0,0,8.05,2.0,2.0
114,0,2.0,0.0,20.0,1,0,9.825,2.0,1.0
115,0,2.0,0.0,17.0,0,0,14.4583,0.0,1.0
116,0,2.0,1.0,21.0,0,0,7.925,2.0,2.0
117,0,2.0,1.0,70.5,0,0,7.75,1.0,2.0
118,0,1.0,1.0,29.0,1,0,21.0,2.0,2.0
119,0,0.0,1.0,24.0,0,1,247.5208,0.0,2.0
120,0,2.0,0.0,2.0,4,2,31.275,2.0,1.0
121,0,1.0,1.0,21.0,2,0,73.5,2.0,2.0
122,0,2.0,1.0,18.0,0,0,8.05,2.0,2.0
123,0,1.0,1.0,32.5,1,0,30.0708,0.0,2.0
124,1,1.0,0.0,32.5,0,0,13.0,2.0,1.0
125,0,0.0,1.0,54.0,0,1,77.2875,2.0,2.0
126,1,2.0,1.0,12.0,1,0,11.2417,0.0,0.0
127,0,2.0,1.0,26.0,0,0,7.75,1.0,2.0
128,1,2.0,1.0,24.0,0,0,7.1417,2.0,2.0
129,1,2.0,0.0,21.0,1,1,22.3583,0.0,1.0
130,0,2.0,1.0,45.0,0,0,6.975,2.0,2.0
131,0,2.0,1.0,33.0,0,0,7.8958,0.0,2.0
132,0,2.0,1.0,20.0,0,0,7.05,2.0,2.0
133,0,2.0,0.0,47.0,1,0,14.5,2.0,3.0
134,1,1.0,0.0,29.0,1,0,26.0,2.0,3.0
135,0,1.0,1.0,25.0,0,0,13.0,2.0,2.0
136,0,1.0,1.0,23.0,0,0,15.0458,0.0,2.0
137,1,0.0,0.0,19.0,0,2,26.2833,2.0,1.0
138,0,0.0,1.0,37.0,1,0,53.1,2.0,2.0
139,0,2.0,1.0,16.0,0,0,9.2167,2.0,2.0
140,0,0.0,1.0,24.0,0,0,79.2,0.0,2.0
141,0,2.0,0.0,32.0,0,2,15.2458,0.0,3.0
142,1,2.0,0.0,22.0,0,0,7.75,2.0,1.0
143,1,2.0,0.0,24.0,1,0,15.85,2.0,3.0
144,0,2.0,1.0,19.0,0,0,6.75,1.0,2.0
145,0,1.0,1.0,18.0,0,0,11.5,2.0,2.0
146,0,1.0,1.0,19.0,1,1,36.75,2.0,2.0
147,1,2.0,1.0,27.0,0,0,7.7958,2.0,2.0
148,0,2.0,0.0,9.0,2,2,34.375,2.0,1.0
149,0,1.0,1.0,36.5,0,2,26.0,2.0,2.0
150,0,1.0,1.0,42.0,0,0,13.0,2.0,4.0
151,0,1.0,1.0,51.0,0,0,12.525,2.0,4.0
152,1,0.0,0.0,22.0,1,0,66.6,2.0,3.0
153,0,2.0,1.0,55.5,0,0,8.05,2.0,2.0
154,0,2.0,1.0,40.5,0,2,14.5,2.0,2.0
155,0,2.0,1.0,17.0,0,0,7.3125,2.0,2.0
156,0,0.0,1.0,51.0,0,1,61.3792,0.0,2.0
157,1,2.0,0.0,16.0,0,0,7.7333,1.0,1.0
158,0,2.0,1.0,30.0,0,0,8.05,2.0,2.0
159,0,2.0,1.0,42.0,0,0,8.6625,2.0,2.0
160,0,2.0,1.0,20.0,8,2,69.55,2.0,0.0
161,0,2.0,1.0,44.0,0,1,16.1,2.0,2.0
162,1,1.0,0.0,40.0,0,0,15.75,2.0,3.0
163,0,2.0,1.0,26.0,0,0,7.775,2.0,2.0
164,0,2.0,1.0,17.0,0,0,8.6625,2.0,2.0
165,0,2.0,1.0,1.0,4,1,39.6875,2.0,0.0
166,1,2.0,1.0,9.0,0,2,20.525,2.0,0.0
167,1,0.0,0.0,26.0,0,1,55.0,2.0,3.0
168,0,2.0,0.0,45.0,1,4,27.9,2.0,3.0
169,0,0.0,1.0,17.0,0,0,25.925,2.0,2.0
170,0,2.0,1.0,28.0,0,0,56.4958,2.0,2.0
171,0,0.0,1.0,61.0,0,0,33.5,2.0,2.0
172,0,2.0,1.0,4.0,4,1,29.125,1.0,0.0
173,1,2.0,0.0,1.0,1,1,11.1333,2.0,1.0
174,0,2.0,1.0,21.0,0,0,7.925,2.0,2.0
175,0,0.0,1.0,56.0,0,0,30.6958,0.0,2.0
176,0,2.0,1.0,18.0,1,1,7.8542,2.0,2.0
177,0,2.0,1.0,33.0,3,1,25.4667,2.0,0.0
178,0,0.0,0.0,50.0,0,0,28.7125,0.0,1.0
179,0,1.0,1.0,30.0,0,0,13.0,2.0,2.0
180,0,2.0,1.0,36.0,0,0,0.0,2.0,2.0
181,0,2.0,0.0,22.0,8,2,69.55,2.0,1.0
182,0,1.0,1.0,26.0,0,0,15.05,0.0,2.0
183,0,2.0,1.0,9.0,4,2,31.3875,2.0,0.0
184,1,1.0,1.0,1.0,2,1,39.0,2.0,0.0
185,1,2.0,0.0,4.0,0,2,22.025,2.0,1.0
186,0,0.0,1.0,26.0,0,0,50.0,2.0,2.0
187,1,2.0,0.0,33.0,1,0,15.5,1.0,3.0
188,1,0.0,1.0,45.0,0,0,26.55,2.0,2.0
189,0,2.0,1.0,40.0,1,1,15.5,1.0,2.0
190,0,2.0,1.0,36.0,0,0,7.8958,2.0,2.0
191,1,1.0,0.0,32.0,0,0,13.0,2.0,3.0
192,0,1.0,1.0,19.0,0,0,13.0,2.0,2.0
193,1,2.0,0.0,19.0,1,0,7.8542,2.0,1.0
194,1,1.0,1.0,3.0,1,1,26.0,2.0,0.0
195,1,0.0,0.0,44.0,0,0,27.7208,0.0,3.0
196,1,0.0,0.0,58.0,0,0,146.5208,0.0,1.0
197,0,2.0,1.0,34.0,0,0,7.75,1.0,2.0
198,0,2.0,1.0,42.0,0,1,8.4042,2.0,2.0
199,1,2.0,0.0,24.0,0,0,7.75,1.0,1.0
200,0,1.0,0.0,24.0,0,0,13.0,2.0,1.0
201,0,2.0,1.0,28.0,0,0,9.5,2.0,2.0
202,0,2.0,1.0,28.0,8,2,69.55,2.0,2.0
203,0,2.0,1.0,34.0,0,0,6.4958,2.0,2.0
204,0,2.0,1.0,45.5,0,0,7.225,0.0,2.0
205,1,2.0,1.0,18.0,0,0,8.05,2.0,2.0
206,0,2.0,0.0,2.0,0,1,10.4625,2.0,1.0
207,0,2.0,1.0,32.0,1,0,15.85,2.0,2.0
208,1,2.0,1.0,26.0,0,0,18.7875,0.0,2.0
209,1,2.0,0.0,16.0,0,0,7.75,1.0,1.0
210,1,0.0,1.0,40.0,0,0,31.0,0.0,2.0
211,0,2.0,1.0,24.0,0,0,7.05,2.0,2.0
212,1,1.0,0.0,35.0,0,0,21.0,2.0,1.0
213,0,2.0,1.0,22.0,0,0,7.25,2.0,2.0
214,0,1.0,1.0,30.0,0,0,13.0,2.0,2.0
215,0,2.0,1.0,30.0,1,0,7.75,1.0,2.0
216,1,0.0,0.0,31.0,1,0,113.275,0.0,1.0
217,1,2.0,0.0,27.0,0,0,7.925,2.0,1.0
218,0,1.0,1.0,42.0,1,0,27.0,2.0,2.0
219,1,0.0,0.0,32.0,0,0,76.2917,0.0,1.0
220,0,1.0,1.0,30.0,0,0,10.5,2.0,2.0
221,1,2.0,1.0,16.0,0,0,8.05,2.0,2.0
222,0,1.0,1.0,27.0,0,0,13.0,2.0,2.0
223,0,2.0,1.0,51.0,0,0,8.05,2.0,2.0
224,0,2.0,1.0,21.0,0,0,7.8958,2.0,2.0
225,1,0.0,1.0,38.0,1,0,90.0,2.0,2.0
226,0,2.0,1.0,22.0,0,0,9.35,2.0,2.0
227,1,1.0,1.0,19.0,0,0,10.5,2.0,2.0
228,0,2.0,1.0,20.5,0,0,7.25,2.0,2.0
229,0,1.0,1.0,18.0,0,0,13.0,2.0,2.0
230,0,2.0,0.0,26.0,3,1,25.4667,2.0,1.0
231,1,0.0,0.0,35.0,1,0,83.475,2.0,3.0
232,0,2.0,1.0,29.0,0,0,7.775,2.0,2.0
233,0,1.0,1.0,59.0,0,0,13.5,2.0,2.0
234,1,2.0,0.0,5.0,4,2,31.3875,2.0,1.0
235,0,1.0,1.0,24.0,0,0,10.5,2.0,2.0
236,0,2.0,0.0,42.0,0,0,7.55,2.0,1.0
237,0,1.0,1.0,44.0,1,0,26.0,2.0,2.0
238,1,1.0,0.0,8.0,0,2,26.25,2.0,1.0
239,0,1.0,1.0,19.0,0,0,10.5,2.0,2.0
240,0,1.0,1.0,33.0,0,0,12.275,2.0,2.0
241,0,2.0,0.0,31.0,1,0,14.4542,0.0,1.0
242,1,2.0,0.0,42.0,1,0,15.5,1.0,1.0
243,0,1.0,1.0,29.0,0,0,10.5,2.0,2.0
244,0,2.0,1.0,22.0,0,0,7.125,2.0,2.0
245,0,2.0,1.0,30.0,0,0,7.225,0.0,2.0
246,0,0.0,1.0,44.0,2,0,90.0,1.0,4.0
247,0,2.0,0.0,25.0,0,0,7.775,2.0,1.0
248,1,1.0,0.0,24.0,0,2,14.5,2.0,3.0
249,1,0.0,1.0,37.0,1,1,52.5542,2.0,2.0
250,0,1.0,1.0,54.0,1,0,26.0,2.0,4.0
251,0,2.0,1.0,42.0,0,0,7.25,2.0,2.0
252,0,2.0,0.0,29.0,1,1,10.4625,2.0,3.0
253,0,0.0,1.0,62.0,0,0,26.55,2.0,2.0
254,0,2.0,1.0,30.0,1,0,16.1,2.0,2.0
255,0,2.0,0.0,41.0,0,2,20.2125,2.0,3.0
256,1,2.0,0.0,29.0,0,2,15.2458,0.0,3.0
257,1,0.0,0.0,18.0,0,0,79.2,0.0,3.0
258,1,0.0,0.0,30.0,0,0,86.5,2.0,1.0
259,1,0.0,0.0,35.0,0,0,512.3292,0.0,1.0
260,1,1.0,0.0,50.0,0,1,26.0,2.0,3.0
261,0,2.0,1.0,18.0,0,0,7.75,1.0,2.0
262,1,2.0,1.0,3.0,4,2,31.3875,2.0,0.0
263,0,0.0,1.0,52.0,1,1,79.65,2.0,2.0
264,0,0.0,1.0,40.0,0,0,0.0,2.0,2.0
265,0,2.0,0.0,43.0,0,0,7.75,1.0,1.0
266,0,1.0,1.0,36.0,0,0,10.5,2.0,2.0
267,0,2.0,1.0,16.0,4,1,39.6875,2.0,2.0
268,1,2.0,1.0,25.0,1,0,7.775,2.0,2.0
269,1,0.0,0.0,58.0,0,1,153.4625,2.0,3.0
270,1,0.0,0.0,35.0,0,0,135.6333,2.0,1.0
271,0,0.0,1.0,24.0,0,0,31.0,2.0,2.0
272,1,2.0,1.0,25.0,0,0,0.0,2.0,2.0
273,1,1.0,0.0,41.0,0,1,19.5,2.0,3.0
274,0,0.0,1.0,37.0,0,1,29.7,0.0,2.0
275,1,2.0,0.0,33.0,0,0,7.75,1.0,1.0
276,1,0.0,0.0,63.0,1,0,77.9583,2.0,1.0
277,0,2.0,0.0,45.0,0,0,7.75,2.0,1.0
278,0,1.0,1.0,30.0,0,0,0.0,2.0,2.0
279,0,2.0,1.0,7.0,4,1,29.125,1.0,0.0
280,1,2.0,0.0,35.0,1,1,20.25,2.0,3.0
281,0,2.0,1.0,65.0,0,0,7.75,1.0,2.0
282,0,2.0,1.0,28.0,0,0,7.8542,2.0,2.0
283,0,2.0,1.0,16.0,0,0,9.5,2.0,2.0
284,1,2.0,1.0,19.0,0,0,8.05,2.0,2.0
285,0,0.0,1.0,38.0,0,0,26.0,2.0,2.0
286,0,2.0,1.0,33.0,0,0,8.6625,0.0,2.0
287,1,2.0,1.0,30.0,0,0,9.5,2.0,2.0
288,0,2.0,1.0,22.0,0,0,7.8958,2.0,2.0
289,1,1.0,1.0,42.0,0,0,13.0,2.0,2.0
290,1,2.0,0.0,22.0,0,0,7.75,1.0,1.0
291,1,0.0,0.0,26.0,0,0,78.85,2.0,1.0
292,1,0.0,0.0,19.0,1,0,91.0792,0.0,3.0
293,0,1.0,1.0,36.0,0,0,12.875,0.0,2.0
294,0,2.0,0.0,24.0,0,0,8.85,2.0,1.0
295,0,2.0,1.0,24.0,0,0,7.8958,2.0,2.0
296,0,0.0,1.0,35.0,0,0,27.7208,0.0,2.0
297,0,2.0,1.0,23.5,0,0,7.2292,0.0,2.0
298,0,0.0,0.0,2.0,1,2,151.55,2.0,1.0
299,1,0.0,1.0,18.0,0,0,30.5,2.0,2.0
300,1,0.0,0.0,50.0,0,1,247.5208,0.0,3.0
301,1,2.0,0.0,32.0,0,0,7.75,1.0,1.0
302,1,2.0,1.0,24.0,2,0,23.25,1.0,2.0
303,0,2.0,1.0,19.0,0,0,0.0,2.0,2.0
304,1,1.0,0.0,33.0,0,0,12.35,1.0,1.0
305,0,2.0,1.0,18.0,0,0,8.05,2.0,2.0
306,1,0.0,1.0,0.92,1,2,151.55,2.0,0.0
307,1,0.0,0.0,28.0,0,0,110.8833,0.0,1.0
308,1,0.0,0.0,17.0,1,0,108.9,0.0,3.0
309,0,1.0,1.0,30.0,1,0,24.0,0.0,2.0
310,1,0.0,0.0,30.0,0,0,56.9292,0.0,1.0
311,1,0.0,0.0,24.0,0,0,83.1583,0.0,1.0
312,1,0.0,0.0,18.0,2,2,262.375,0.0,1.0
313,0,1.0,0.0,26.0,1,1,26.0,2.0,3.0
314,0,2.0,1.0,28.0,0,0,7.8958,2.0,2.0
315,0,1.0,1.0,43.0,1,1,26.25,2.0,2.0
316,1,2.0,0.0,26.0,0,0,7.8542,2.0,1.0
317,1,1.0,0.0,24.0,1,0,26.0,2.0,3.0
318,0,1.0,1.0,54.0,0,0,14.0,2.0,4.0
319,1,0.0,0.0,31.0,0,2,164.8667,2.0,1.0
320,1,0.0,0.0,40.0,1,1,134.5,0.0,3.0
321,0,2.0,1.0,22.0,0,0,7.25,2.0,2.0
322,0,2.0,1.0,27.0,0,0,7.8958,2.0,2.0
323,1,1.0,0.0,30.0,0,0,12.35,1.0,1.0
324,1,1.0,0.0,22.0,1,1,29.0,2.0,3.0
325,0,2.0,1.0,25.0,8,2,69.55,2.0,2.0
326,1,0.0,0.0,36.0,0,0,135.6333,0.0,1.0
327,0,2.0,1.0,61.0,0,0,6.2375,2.0,2.0
328,1,1.0,0.0,36.0,0,0,13.0,2.0,3.0
329,1,2.0,0.0,31.0,1,1,20.525,2.0,3.0
330,1,0.0,0.0,16.0,0,1,57.9792,0.0,1.0
331,1,2.0,0.0,25.0,2,0,23.25,1.0,1.0
332,0,0.0,1.0,45.5,0,0,28.5,2.0,2.0
333,0,0.0,1.0,38.0,0,1,153.4625,2.0,2.0
334,0,2.0,1.0,16.0,2,0,18.0,2.0,2.0
335,1,0.0,0.0,22.0,1,0,133.65,2.0,3.0
336,0,2.0,1.0,30.0,0,0,7.8958,2.0,2.0
337,0,0.0,1.0,29.0,1,0,66.6,2.0,2.0
338,1,0.0,0.0,41.0,0,0,134.5,0.0,1.0
339,1,2.0,1.0,45.0,0,0,8.05,2.0,2.0
340,0,0.0,1.0,45.0,0,0,35.5,2.0,2.0
341,1,1.0,1.0,2.0,1,1,26.0,2.0,0.0
342,1,0.0,0.0,24.0,3,2,263.0,2.0,1.0
343,0,1.0,1.0,28.0,0,0,13.0,2.0,2.0
344,0,1.0,1.0,25.0,0,0,13.0,2.0,2.0
345,0,1.0,1.0,36.0,0,0,13.0,2.0,2.0
346,1,1.0,0.0,24.0,0,0,13.0,2.0,1.0
347,1,1.0,0.0,40.0,0,0,13.0,2.0,1.0
348,1,2.0,0.0,16.0,1,0,16.1,2.0,3.0
349,1,2.0,1.0,3.0,1,1,15.9,2.0,0.0
350,0,2.0,1.0,42.0,0,0,8.6625,2.0,2.0
351,0,2.0,1.0,23.0,0,0,9.225,2.0,2.0
352,0,0.0,1.0,34.0,0,0,35.0,2.0,2.0
353,0,2.0,1.0,15.0,1,1,7.2292,0.0,2.0
354,0,2.0,1.0,25.0,1,0,17.8,2.0,2.0
355,0,2.0,1.0,31.0,0,0,7.225,0.0,2.0
356,0,2.0,1.0,28.0,0,0,9.5,2.0,2.0
357,1,0.0,0.0,22.0,0,1,55.0,2.0,1.0
358,0,1.0,0.0,38.0,0,0,13.0,2.0,1.0
359,1,2.0,0.0,36.0,0,0,7.8792,1.0,1.0
360,1,2.0,0.0,42.0,0,0,7.8792,1.0,1.0
361,0,2.0,1.0,40.0,1,4,27.9,2.0,2.0
362,0,1.0,1.0,29.0,1,0,27.7208,0.0,2.0
363,0,2.0,0.0,45.0,0,1,14.4542,0.0,3.0
364,0,2.0,1.0,35.0,0,0,7.05,2.0,2.0
365,0,2.0,1.0,15.0,1,0,15.5,1.0,2.0
366,0,2.0,1.0,30.0,0,0,7.25,2.0,2.0
367,1,0.0,0.0,60.0,1,0,75.25,0.0,3.0
368,1,2.0,0.0,27.0,0,0,7.2292,0.0,3.0
369,1,2.0,0.0,20.0,0,0,7.75,1.0,1.0
370,1,0.0,0.0,24.0,0,0,69.3,0.0,3.0
371,1,0.0,1.0,25.0,1,0,55.4417,0.0,2.0
372,0,2.0,1.0,18.0,1,0,6.4958,2.0,2.0
373,0,2.0,1.0,19.0,0,0,8.05,2.0,2.0
374,0,0.0,1.0,22.0,0,0,135.6333,0.0,2.0
375,0,2.0,0.0,3.0,3,1,21.075,2.0,1.0
376,1,0.0,0.0,27.0,1,0,82.1708,0.0,3.0
377,1,2.0,0.0,22.0,0,0,7.25,2.0,1.0
378,0,0.0,1.0,27.0,0,2,211.5,0.0,2.0
379,0,2.0,1.0,20.0,0,0,4.0125,0.0,2.0
380,0,2.0,1.0,19.0,0,0,7.775,2.0,2.0
381,1,0.0,0.0,42.0,0,0,227.525,0.0,1.0
382,1,2.0,0.0,1.0,0,2,15.7417,0.0,1.0
383,0,2.0,1.0,32.0,0,0,7.925,2.0,2.0
384,1,0.0,0.0,35.0,1,0,52.0,2.0,3.0
385,0,2.0,1.0,30.0,0,0,7.8958,2.0,2.0
386,0,1.0,1.0,18.0,0,0,73.5,2.0,2.0
387,0,2.0,1.0,1.0,5,2,46.9,2.0,0.0
388,1,1.0,0.0,36.0,0,0,13.0,2.0,1.0
389,0,2.0,1.0,31.0,0,0,7.7292,1.0,2.0
390,1,1.0,0.0,17.0,0,0,12.0,0.0,1.0
391,1,0.0,1.0,36.0,1,2,120.0,2.0,2.0
392,1,2.0,1.0,21.0,0,0,7.7958,2.0,2.0
393,0,2.0,1.0,28.0,2,0,7.925,2.0,2.0
394,1,0.0,0.0,23.0,1,0,113.275,0.0,1.0
395,1,2.0,0.0,24.0,0,2,16.7,2.0,3.0
396,0,2.0,1.0,22.0,0,0,7.7958,2.0,2.0
397,0,2.0,0.0,31.0,0,0,7.8542,2.0,1.0
398,0,1.0,1.0,46.0,0,0,26.0,2.0,2.0
399,0,1.0,1.0,23.0,0,0,10.5,2.0,4.0
400,1,1.0,0.0,28.0,0,0,12.65,2.0,3.0
401,1,2.0,1.0,39.0,0,0,7.925,2.0,2.0
402,0,2.0,1.0,26.0,0,0,8.05,2.0,2.0
403,0,2.0,0.0,21.0,1,0,9.825,2.0,1.0
404,0,2.0,1.0,28.0,1,0,15.85,2.0,2.0
405,0,2.0,0.0,20.0,0,0,8.6625,2.0,1.0
406,0,1.0,1.0,34.0,1,0,21.0,2.0,2.0
407,0,2.0,1.0,51.0,0,0,7.75,2.0,2.0
408,1,1.0,1.0,3.0,1,1,18.75,2.0,0.0
409,0,2.0,1.0,21.0,0,0,7.775,2.0,2.0
410,0,2.0,0.0,17.0,3,1,25.4667,2.0,1.0
411,0,2.0,1.0,16.0,0,0,7.8958,2.0,2.0
412,0,2.0,1.0,32.0,0,0,6.8583,1.0,2.0
413,1,0.0,0.0,33.0,1,0,90.0,1.0,1.0
414,0,1.0,1.0,29.0,0,0,0.0,2.0,2.0
415,1,2.0,1.0,44.0,0,0,7.925,2.0,2.0
416,0,2.0,0.0,31.0,0,0,8.05,2.0,3.0
417,1,1.0,0.0,34.0,1,1,32.5,2.0,3.0
418,1,1.0,0.0,18.0,0,2,13.0,2.0,1.0
419,0,1.0,1.0,30.0,0,0,13.0,2.0,2.0
420,0,2.0,0.0,10.0,0,2,24.15,2.0,1.0
421,0,2.0,1.0,33.0,0,0,7.8958,0.0,2.0
422,0,2.0,1.0,21.0,0,0,7.7333,1.0,2.0
423,0,2.0,1.0,29.0,0,0,7.875,2.0,2.0
424,0,2.0,0.0,28.0,1,1,14.4,2.0,3.0
425,0,2.0,1.0,18.0,1,1,20.2125,2.0,2.0
426,0,2.0,1.0,32.0,0,0,7.25,2.0,2.0
427,1,1.0,0.0,28.0,1,0,26.0,2.0,3.0
428,1,1.0,0.0,19.0,0,0,26.0,2.0,1.0
429,0,2.0,1.0,31.0,0,0,7.75,1.0,2.0
430,1,2.0,1.0,32.0,0,0,8.05,2.0,2.0
